"","code","level","name_en","name_es","name_short_es","name_short_en","name","parent_id"
231,"19-1030","broad_occupation","Conservation Scientists and Foresters","Conservation Scientists and Foresters","","Conservation Scientists and Foresters","Conservation Scientists and Foresters",221.0
232,"19-1031","detailed_occupation","Conservation Scientists","Científicos Especializados en Conservación","Científicos Especializados en Conservación","Conservation Scientists","Conservation Scientists",231.0
233,"19-1032","detailed_occupation","Foresters","Silvicultores","Silvicultores","Foresters","Foresters",231.0
234,"19-1040","broad_occupation","Medical Scientists","Medical Scientists","","Medical Scientists","Medical Scientists",221.0
235,"19-1041","detailed_occupation","Epidemiologists","Epidemiólogos","Epidemiólogos","Epidemiologists","Epidemiologists",234.0
236,"19-1042","detailed_occupation","Medical Scientists, Except Epidemiologists","Científicos Médicos, Excepto Epidemiólogos","Científicos Médicos, Excepto Epidemiólogos","Medical Scientists, Except Epidemiologists","Medical Scientists, Except Epidemiologists",234.0
237,"19-1090","broad_occupation","Miscellaneous Life Scientists","Miscellaneous Life Scientists","","Miscellaneous Life Scientists","Miscellaneous Life Scientists",221.0
238,"19-1099","detailed_occupation","Life Scientists, All Other","Todos los Demás Científicos Especializados en Ciencias Biológicas","Otros Especialistas en Ciencias Biológicas","Life Scientists, All Other","Life Scientists, All Other",237.0
239,"19-2000","minor_group","Physical Scientists","Physical Scientists","","Physical Scientists","Physical Scientists",220.0
240,"19-2010","broad_occupation","Astronomers and Physicists","Astronomers and Physicists","","Astronomers and Physicists","Astronomers and Physicists",239.0
241,"19-2011","detailed_occupation","Astronomers","Astrónomos","Astrónomos","Astronomers","Astronomers",240.0
242,"19-2012","detailed_occupation","Physicists","Físicos","Físicos","Physicists","Physicists",240.0
243,"19-2020","broad_occupation","Atmospheric and Space Scientists","Atmospheric and Space Scientists","","Atmospheric and Space Scientists","Atmospheric and Space Scientists",239.0
244,"19-2021","detailed_occupation","Atmospheric and Space Scientists","Científicos Atmosféricos y Espaciales","Científicos Atmosféricos y Espaciales","Atmospheric and Space Scientists","Atmospheric and Space Scientists",243.0
245,"19-2030","broad_occupation","Chemists and Materials Scientists","Chemists and Materials Scientists","","Chemists and Materials Scientists","Chemists and Materials Scientists",239.0
246,"19-2031","detailed_occupation","Chemists","Químicos","Químicos","Chemists","Chemists",245.0
247,"19-2032","detailed_occupation","Materials Scientists","Científicos de Materiales","Científicos de Materiales","Materials Scientists","Materials Scientists",245.0
248,"19-2040","broad_occupation","Environmental Scientists and Geoscientists","Environmental Scientists and Geoscientists","","Environmental Scientists and Geoscientists","Environmental Scientists and Geoscientists",239.0
249,"19-2041","detailed_occupation","Environmental Scientists and Specialists, Including Health","Científicos y Especialistas en Medioambiente, Incluye Salud","Científicos y Especialistas en Medioambiente","Environmental Scientists and Specialists, Including Health","Environmental Scientists and Specialists, Including Health",248.0
250,"19-2042","detailed_occupation","Geoscientists, Except Hydrologists and Geographers","Científicos de la Geociencia, Excepto Hidrólogos y Geógrafos","Científicos de la Geociencia, Excepto Hidrólogos y Geógrafos","Geoscientists, Except Hydrologists and Geographers","Geoscientists, Except Hydrologists and Geographers",248.0
251,"19-2043","detailed_occupation","Hydrologists","Hidrólogos","Hidrólogos","Hydrologists","Hydrologists",248.0
252,"19-2090","broad_occupation","Miscellaneous Physical Scientists","Miscellaneous Physical Scientists","","Miscellaneous Physical Scientists","Miscellaneous Physical Scientists",239.0
253,"19-2099","detailed_occupation","Physical Scientists, All Other","Todos los Demás Científicos Físicos","Todos los Demás Científicos Físicos","Physical Scientists, All Other","Physical Scientists, All Other",252.0
254,"19-3000","minor_group","Social Scientists and Related Workers","Social Scientists and Related Workers","","Social Scientists and Related Workers","Social Scientists and Related Workers",220.0
255,"19-3010","broad_occupation","Economists","Economists","","Economists","Economists",254.0
256,"19-3011","detailed_occupation","Economists","Economistas","Economistas","Economists","Economists",255.0
257,"19-3020","broad_occupation","Survey Researchers","Survey Researchers","","Survey Researchers","Survey Researchers",254.0
258,"19-3022","detailed_occupation","Survey Researchers","Investigadores de Encuestas","Investigadores de Encuestas","Survey Researchers","Survey Researchers",257.0
259,"19-3030","broad_occupation","Psychologists","Psychologists","","Psychologists","Psychologists",254.0
260,"19-3031","detailed_occupation","Clinical, Counseling, and School Psychologists","Psicólogos Clínicos, de Consejería y Escolares","Psicólogos Clínicos, de Consejería y Escolares","Clinical, Counseling, and School Psychologists","Clinical, Counseling, and School Psychologists",259.0
261,"19-3032","detailed_occupation","Industrial-Organizational Psychologists","Psicólogos Industriales-Organizacionales","Psicólogos Industriales-Organizacionales","Industrial-Organizational Psychologists","Industrial-Organizational Psychologists",259.0
262,"19-3039","detailed_occupation","Psychologists, All Other","Todos los Demás Psicólogos","Todos los Demás Psicólogos","Psychologists, All Other","Psychologists, All Other",259.0
263,"19-3040","broad_occupation","Sociologists","Sociologists","","Sociologists","Sociologists",254.0
264,"19-3041","detailed_occupation","Sociologists","Sociólogos","Sociólogos","Sociologists","Sociologists",263.0
265,"19-3050","broad_occupation","Urban and Regional Planners","Urban and Regional Planners","","Urban and Regional Planners","Urban and Regional Planners",254.0
266,"19-3051","detailed_occupation","Urban and Regional Planners","Planificadores Urbanos y Regionales","Planificadores Urbanos y Regionales","Urban and Regional Planners","Urban and Regional Planners",265.0
267,"19-3090","broad_occupation","Miscellaneous Social Scientists and Related Workers","Miscellaneous Social Scientists and Related Workers","","Miscellaneous Social Scientists and Related Workers","Miscellaneous Social Scientists and Related Workers",254.0
268,"19-3091","detailed_occupation","Anthropologists and Archeologists","Antropólogos y Arqueólogos","Antropólogos y Arqueólogos","Anthropologists and Archeologists","Anthropologists and Archeologists",267.0
269,"19-3092","detailed_occupation","Geographers","Geógrafos","Geógrafos","Geographers","Geographers",267.0
270,"19-3093","detailed_occupation","Historians","Historiadores","Historiadores","Historians","Historians",267.0
271,"19-3094","detailed_occupation","Political Scientists","Científicos Políticos","Científicos Políticos","Political Scientists","Political Scientists",267.0
272,"19-3099","detailed_occupation","Social Scientists and Related Workers, All Other","Todos los Demás Científicos Sociales y Trabajadores Relacionados","Otros Científicos Sociales y Trabajadores Relacionados","Social Scientists and Related Workers, All Other","Social Scientists and Related Workers, All Other",267.0
273,"19-4000","minor_group","Life, Physical, and Social Science Technicians","Life, Physical, and Social Science Technicians","","Life, Physical, and Social Science Technicians","Life, Physical, and Social Science Technicians",220.0
274,"19-4010","broad_occupation","Agricultural and Food Science Technicians","Agricultural and Food Science Technicians","","Agricultural and Food Science Technicians","Agricultural and Food Science Technicians",273.0
275,"19-4011","detailed_occupation","Agricultural and Food Science Technicians","Técnicos en Ciencias Agrícolas y de los Alimentos","Técnicos en Ciencias Agrícolas y de los Alimentos","Agricultural and Food Science Technicians","Agricultural and Food Science Technicians",274.0
276,"19-4020","broad_occupation","Biological Technicians","Biological Technicians","","Biological Technicians","Biological Technicians",273.0
277,"19-4021","detailed_occupation","Biological Technicians","Técnicos en Biología","Técnicos en Biología","Biological Technicians","Biological Technicians",276.0
278,"19-4030","broad_occupation","Chemical Technicians","Chemical Technicians","","Chemical Technicians","Chemical Technicians",273.0
279,"19-4031","detailed_occupation","Chemical Technicians","Técnicos Químicos","Técnicos Químicos","Chemical Technicians","Chemical Technicians",278.0
280,"19-4040","broad_occupation","Geological and Petroleum Technicians","Geological and Petroleum Technicians","","Geological and Petroleum Technicians","Geological and Petroleum Technicians",273.0
281,"19-4041","detailed_occupation","Geological and Petroleum Technicians","Técnicos en Exploración Geológica y Petrolera","Técnicos en Exploración Geológica y Petrolera","Geological and Petroleum Technicians","Geological and Petroleum Technicians",280.0
282,"19-4050","broad_occupation","Nuclear Technicians","Nuclear Technicians","","Nuclear Technicians","Nuclear Technicians",273.0
283,"19-4051","detailed_occupation","Nuclear Technicians","Técnicos Nucleares","Técnicos Nucleares","Nuclear Technicians","Nuclear Technicians",282.0
284,"19-4060","broad_occupation","Social Science Research Assistants","Social Science Research Assistants","","Social Science Research Assistants","Social Science Research Assistants",273.0
285,"19-4061","detailed_occupation","Social Science Research Assistants","Asistentes de Investigación en Ciencias Sociales","Asistentes de Investigación en Ciencias Sociales","Social Science Research Assistants","Social Science Research Assistants",284.0
286,"19-4090","broad_occupation","Miscellaneous Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians","","Miscellaneous Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians",273.0
287,"19-4091","detailed_occupation","Environmental Science and Protection Technicians, Including Health","Técnicos en Ciencias Ambientales y de Protección, Incluye Salud","Técnicos en Ciencias Ambientales y de Protección","Environmental Science and Protection Technicians, Including Health","Environmental Science and Protection Technicians, Including Health",286.0
288,"19-4092","detailed_occupation","Forensic Science Technicians","Técnicos en Ciencias Forenses","Técnicos en Ciencias Forenses","Forensic Science Technicians","Forensic Science Technicians",286.0
289,"19-4093","detailed_occupation","Forest and Conservation Technicians","Técnicos Forestales y de Conservación","Técnicos Forestales y de Conservación","Forest and Conservation Technicians","Forest and Conservation Technicians",286.0
290,"19-4099","detailed_occupation","Life, Physical, and Social Science Technicians, All Other","Todos los Demás Técnicos en Ciencias Biológicas, Físicas y Sociales","Otros Técnicos Ciencias Biológicas, Físicas, Sociales","Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science Technicians, All Other",286.0
291,"21-0000","major_group","Community and Social Service Occupations","Ocupaciones en Servicios Comunitarios y Sociales","","Community and Social Service Occupations","Community and Social Service Occupations",""
292,"21-1000","minor_group","Counselors, Social Workers, and Other Community and Social Service Specialists","Counselors, Social Workers, and Other Community and Social Service Specialists","","Counselors, Social Workers, and Other Community and Social Service Specialists","Counselors, Social Workers, and Other Community and Social Service Specialists",291.0
293,"21-1010","broad_occupation","Counselors","Counselors","","Counselors","Counselors",292.0
294,"21-1011","detailed_occupation","Substance Abuse and Behavioral Disorder Counselors","Consejeros Especializados en Abuso de Sustancias Controladas y Trastornos del Comportamiento","Especialistas Abuso de Sustancias y Trastornos del Comportamiento","Substance Abuse and Behavioral Disorder Counselors","Substance Abuse and Behavioral Disorder Counselors",293.0
295,"21-1012","detailed_occupation","Educational, Guidance, School, and Vocational Counselors","Consejeros Educativos, de Orientación, Escolares y Vocacionales","Consejeros Educativos, de Orientación","Educational, Guidance, School, and Vocational Counselors","Educational, Guidance, School, and Vocational Counselors",293.0
296,"21-1013","detailed_occupation","Marriage and Family Therapists","Terapeutas de Matrimonios y Familias","Terapeutas de Matrimonios y Familias","Marriage and Family Therapists","Marriage and Family Therapists",293.0
297,"21-1014","detailed_occupation","Mental Health Counselors","Consejeros de Salud Mental","Consejeros de Salud Mental","Mental Health Counselors","Mental Health Counselors",293.0
298,"21-1015","detailed_occupation","Rehabilitation Counselors","Consejeros de Rehabilitación","Consejeros de Rehabilitación","Rehabilitation Counselors","Rehabilitation Counselors",293.0
299,"21-1019","detailed_occupation","Counselors, All Other","Todos los Demás Consejeros","Todos los Demás Consejeros","Counselors, All Other","Counselors, All Other",293.0
300,"21-1020","broad_occupation","Social Workers","Social Workers","","Social Workers","Social Workers",292.0
301,"21-1021","detailed_occupation","Child, Family, and School Social Workers","Trabajadores Sociales Especializados en Temas de la Infancia, Familiares y Escolares","Trabajadores Sociales Especializados en Temas de la Infancia, Familiares y Escolares","Child, Family, and School Social Workers","Child, Family, and School Social Workers",300.0
302,"21-1022","detailed_occupation","Healthcare Social Workers","Trabajadores Sociales de Cuidado de la Salud","Trabajadores Sociales de Cuidado de la Salud","Healthcare Social Workers","Healthcare Social Workers",300.0
303,"21-1023","detailed_occupation","Mental Health and Substance Abuse Social Workers","Trabajadores Sociales Especializados en Salud Mental y Abuso de Sustancias","Trabajadores Sociales Especializados en Salud Mental y Abuso de Sustancias","Mental Health and Substance Abuse Social Workers","Mental Health and Substance Abuse Social Workers",300.0
304,"21-1029","detailed_occupation","Social Workers, All Other","Todos los Demás Trabajadores Sociales","Todos los Demás Trabajadores Sociales","Social Workers, All Other","Social Workers, All Other",300.0
305,"21-1090","broad_occupation","Miscellaneous Community and Social Service Specialists","Miscellaneous Community and Social Service Specialists","","Miscellaneous Community and Social Service Specialists","Miscellaneous Community and Social Service Specialists",292.0
306,"21-1091","detailed_occupation","Health Educators ","Educadores de la Salud","Educadores de la Salud","Health Educators ","Health Educators ",305.0
307,"21-1092","detailed_occupation","Probation Officers and Correctional Treatment Specialists","Oficiales de Libertad Condicional y Especialistas en Tratamiento Correccional","Oficiales de Libertad Condicional y Especialistas en Tratamiento Correccional","Probation Officers and Correctional Treatment Specialists","Probation Officers and Correctional Treatment Specialists",305.0
308,"21-1093","detailed_occupation","Social and Human Service Assistants","Asistentes de Servicios Sociales y Humanos","Asistentes de Servicios Sociales y Humanos","Social and Human Service Assistants","Social and Human Service Assistants",305.0
309,"21-1094","detailed_occupation","Community Health Workers","Trabajadores de la Salud para la Comunidad","Trabajadores de la Salud para la Comunidad","Community Health Workers","Community Health Workers",305.0
310,"21-1099","detailed_occupation","Community and Social Service Specialists, All Other","Todos los Demás Especialistas en Servicios Comunitarios y Sociales","Otros Especialistas en Servicios Comunitarios y Sociales","Community and Social Service Specialists, All Other","Community and Social Service Specialists, All Other",305.0
311,"21-2000","minor_group","Religious Workers","Religious Workers","","Religious Workers","Religious Workers",291.0
312,"21-2010","broad_occupation","Clergy","Clergy","","Clergy","Clergy",311.0
313,"21-2011","detailed_occupation","Clergy","Clérigos","Clérigos","Clergy","Clergy",312.0
314,"21-2020","broad_occupation","Directors, Religious Activities and Education","Directors, Religious Activities and Education","","Directors, Religious Activities and Education","Directors, Religious Activities and Education",311.0
315,"21-2021","detailed_occupation","Directors, Religious Activities and Education","Directores de Educación y Actividades Religiosas","Directores de Educación y Actividades Religiosas","Directors, Religious Activities and Education","Directors, Religious Activities and Education",314.0
316,"21-2090","broad_occupation","Miscellaneous Religious Workers","Miscellaneous Religious Workers","","Miscellaneous Religious Workers","Miscellaneous Religious Workers",311.0
317,"21-2099","detailed_occupation","Religious Workers, All Other","Todos los Demás Trabajadores Religiosos","Todos los Demás Trabajadores Religiosos","Religious Workers, All Other","Religious Workers, All Other",316.0
318,"23-0000","major_group","Legal Occupations","Ocupaciones en Derecho","","Legal Occupations","Legal Occupations",""
319,"23-1000","minor_group","Lawyers, Judges, and Related Workers","Lawyers, Judges, and Related Workers","","Lawyers, Judges, and Related Workers","Lawyers, Judges, and Related Workers",318.0
320,"23-1010","broad_occupation","Lawyers and Judicial Law Clerks","Lawyers and Judicial Law Clerks","","Lawyers and Judicial Law Clerks","Lawyers and Judicial Law Clerks",319.0
321,"23-1011","detailed_occupation","Lawyers","Abogados","Abogados","Lawyers","Lawyers",320.0
322,"23-1012","detailed_occupation","Judicial Law Clerks","Oficiales Jurídicos","Oficiales Jurídicos","Judicial Law Clerks","Judicial Law Clerks",320.0
323,"23-1020","broad_occupation","Judges, Magistrates, and Other Judicial Workers","Judges, Magistrates, and Other Judicial Workers","","Judges, Magistrates, and Other Judicial Workers","Judges, Magistrates, and Other Judicial Workers",319.0
324,"23-1021","detailed_occupation","Administrative Law Judges, Adjudicators, and Hearing Officers","Jueces de Derecho Administrativo, Adjudicadores y Oficiales de Audiencia","Jueces de Derecho Administrativo, Adjudicadores y Oficiales de Audiencia","Administrative Law Judges, Adjudicators, and Hearing Officers","Administrative Law Judges, Adjudicators, and Hearing Officers",323.0
325,"23-1022","detailed_occupation","Arbitrators, Mediators, and Conciliators","Árbitros, Mediadores y Conciliadores","Árbitros, Mediadores y Conciliadores","Arbitrators, Mediators, and Conciliators","Arbitrators, Mediators, and Conciliators",323.0
326,"23-1023","detailed_occupation","Judges, Magistrate Judges, and Magistrates","Jueces, Jueces Magistrados y Magistrados","Jueces, Jueces Magistrados y Magistrados","Judges, Magistrate Judges, and Magistrates","Judges, Magistrate Judges, and Magistrates",323.0
327,"23-2000","minor_group","Legal Support Workers","Legal Support Workers","","Legal Support Workers","Legal Support Workers",318.0
328,"23-2010","broad_occupation","Paralegals and Legal Assistants","Paralegals and Legal Assistants","","Paralegals and Legal Assistants","Paralegals and Legal Assistants",327.0
329,"23-2011","detailed_occupation","Paralegals and Legal Assistants","Asistentes Legales y Asistentes de Abogados","Asistentes Legales y Asistentes de Abogados","Paralegals and Legal Assistants","Paralegals and Legal Assistants",328.0
330,"23-2090","broad_occupation","Miscellaneous Legal Support Workers","Miscellaneous Legal Support Workers","","Miscellaneous Legal Support Workers","Miscellaneous Legal Support Workers",327.0
331,"23-2091","detailed_occupation","Court Reporters","Transcriptores Judiciales","Transcriptores Judiciales","Court Reporters","Court Reporters",330.0
332,"23-2093","detailed_occupation","Title Examiners, Abstractors, and Searchers","Examinadores, Analistas de Títulos y Gestores de Búsqueda de Títulos","Analistas y Gestores de Búsqueda de Títulos","Title Examiners, Abstractors, and Searchers","Title Examiners, Abstractors, and Searchers",330.0
333,"23-2099","detailed_occupation","Legal Support Workers, All Other","Todos los Demás Trabajadores de Asistencia Legal","Todos los Demás Trabajadores de Asistencia Legal","Legal Support Workers, All Other","Legal Support Workers, All Other",330.0
334,"25-0000","major_group","Education, Training, and Library Occupations","Ocupaciones en Educación, Capacitación y Bibliotecología","","Education, Training, and Library Occupations","Education, Training, and Library Occupations",""
335,"25-1000","minor_group","Postsecondary Teachers","Postsecondary Teachers","","Postsecondary Teachers","Postsecondary Teachers",334.0
336,"25-1010","broad_occupation","Business Teachers, Postsecondary","Business Teachers, Postsecondary","","Business Teachers, Postsecondary","Business Teachers, Postsecondary",335.0
337,"25-1011","detailed_occupation","Business Teachers, Postsecondary","Profesores de Estudios Comerciales de Nivel Postsecundario","Profesores de Estudios Comerciales, Postsecundario","Business Teachers, Postsecondary","Business Teachers, Postsecondary",336.0
338,"25-1020","broad_occupation","Math and Computer Teachers, Postsecondary","Math and Computer Teachers, Postsecondary","","Math and Computer Teachers, Postsecondary","Math and Computer Teachers, Postsecondary",335.0
339,"25-1021","detailed_occupation","Computer Science Teachers, Postsecondary","Profesores de Ciencias de la Computación de Nivel Postsecundario","Profesores de Computación, Postsecundario","Computer Science Teachers, Postsecondary","Computer Science Teachers, Postsecondary",338.0
340,"25-1022","detailed_occupation","Mathematical Science Teachers, Postsecondary","Profesores de Ciencias Matemáticas de Nivel Postsecundario","Profesores de Matemáticas, Postsecundario","Mathematical Science Teachers, Postsecondary","Mathematical Science Teachers, Postsecondary",338.0
341,"25-1030","broad_occupation","Engineering and Architecture Teachers, Postsecondary","Engineering and Architecture Teachers, Postsecondary","","Engineering and Architecture Teachers, Postsecondary","Engineering and Architecture Teachers, Postsecondary",335.0
342,"25-1031","detailed_occupation","Architecture Teachers, Postsecondary","Profesores de Arquitectura de Nivel Postsecundario","Profesores de Arquitectura de Nivel Postsecundario","Architecture Teachers, Postsecondary","Architecture Teachers, Postsecondary",341.0
343,"25-1032","detailed_occupation","Engineering Teachers, Postsecondary","Profesores de Ingeniería de Nivel Postsecundario","Profesores de Ingeniería de Nivel Postsecundario","Engineering Teachers, Postsecondary","Engineering Teachers, Postsecondary",341.0
344,"25-1040","broad_occupation","Life Sciences Teachers, Postsecondary","Life Sciences Teachers, Postsecondary","","Life Sciences Teachers, Postsecondary","Life Sciences Teachers, Postsecondary",335.0
345,"25-1041","detailed_occupation","Agricultural Sciences Teachers, Postsecondary","Profesores de Ciencias Agrarias de Nivel Postsecundario","Profesores de Ciencias Agrarias, Postsecundario","Agricultural Sciences Teachers, Postsecondary","Agricultural Sciences Teachers, Postsecondary",344.0
346,"25-1042","detailed_occupation","Biological Science Teachers, Postsecondary","Profesores de Biología de Nivel Postsecundario","Profesores de Biología de Nivel Postsecundario","Biological Science Teachers, Postsecondary","Biological Science Teachers, Postsecondary",344.0
347,"25-1043","detailed_occupation","Forestry and Conservation Science Teachers, Postsecondary","Profesores de Silvicultura y Ciencias de la Conservación de Nivel Postsecundario","Profesores de Silvicultura y Conservación, Postsecundario","Forestry and Conservation Science Teachers, Postsecondary","Forestry and Conservation Science Teachers, Postsecondary",344.0
348,"25-1050","broad_occupation","Physical Sciences Teachers, Postsecondary","Physical Sciences Teachers, Postsecondary","","Physical Sciences Teachers, Postsecondary","Physical Sciences Teachers, Postsecondary",335.0
349,"25-1051","detailed_occupation","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Profesores de Ciencias Atmosféricas, Geológicas, Oceanográficas y Espaciales de Nivel Postsecundario","Profesores de Ciencias Atmosféricas, Geológicas, Oceanográficas y Espaciales, Postsecundario","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",348.0
350,"25-1052","detailed_occupation","Chemistry Teachers, Postsecondary","Profesores de Química de Nivel Postsecundario","Profesores de Química de Nivel Postsecundario","Chemistry Teachers, Postsecondary","Chemistry Teachers, Postsecondary",348.0
351,"25-1053","detailed_occupation","Environmental Science Teachers, Postsecondary","Profesores de Ciencias Ambientales de Nivel Postsecundario","Profesores de Ciencias Ambientales, Postsecundario","Environmental Science Teachers, Postsecondary","Environmental Science Teachers, Postsecondary",348.0
352,"25-1054","detailed_occupation","Physics Teachers, Postsecondary","Profesores de Física de Nivel Postsecundario","Profesores de Física de Nivel Postsecundario","Physics Teachers, Postsecondary","Physics Teachers, Postsecondary",348.0
353,"25-1060","broad_occupation","Social Sciences Teachers, Postsecondary","Social Sciences Teachers, Postsecondary","","Social Sciences Teachers, Postsecondary","Social Sciences Teachers, Postsecondary",335.0
354,"25-1061","detailed_occupation","Anthropology and Archeology Teachers, Postsecondary","Profesores de Antropología y Arqueología de Nivel Postsecundario","Profesores de Antropología y Arqueología, Postsecundario","Anthropology and Archeology Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",353.0
355,"25-1062","detailed_occupation","Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Profesores de Estudios Regionales, Étnicos y Culturales de Nivel Postsecundario","Profesores de Estudios Regionales, Étnicos y Culturales, Postsecundario","Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",353.0
356,"25-1063","detailed_occupation","Economics Teachers, Postsecondary","Profesores de Economía de Nivel Postsecundario","Profesores de Economía de Nivel Postsecundario","Economics Teachers, Postsecondary","Economics Teachers, Postsecondary",353.0
357,"25-1064","detailed_occupation","Geography Teachers, Postsecondary","Profesores de Geografía de Nivel Postsecundario","Profesores de Geografía de Nivel Postsecundario","Geography Teachers, Postsecondary","Geography Teachers, Postsecondary",353.0
358,"25-1065","detailed_occupation","Political Science Teachers, Postsecondary","Profesores de Ciencias Políticas de Nivel Postsecundario","Profesores de Ciencias Políticas, Postsecundario","Political Science Teachers, Postsecondary","Political Science Teachers, Postsecondary",353.0
359,"25-1066","detailed_occupation","Psychology Teachers, Postsecondary","Profesores de Psicología de Nivel Postsecundario","Profesores de Psicología de Nivel Postsecundario","Psychology Teachers, Postsecondary","Psychology Teachers, Postsecondary",353.0
360,"25-1067","detailed_occupation","Sociology Teachers, Postsecondary","Profesores de Sociología de Nivel Postsecundario","Profesores de Sociología de Nivel Postsecundario","Sociology Teachers, Postsecondary","Sociology Teachers, Postsecondary",353.0
361,"25-1069","detailed_occupation","Social Sciences Teachers, Postsecondary, All Other","Todos los Demás Profesores de Ciencias Sociales de Nivel Postsecundario","Otros Profesores de Ciencias Sociales, Postsecundario","Social Sciences Teachers, Postsecondary, All Other","Social Sciences Teachers, Postsecondary, All Other",353.0
362,"25-1070","broad_occupation","Health Teachers, Postsecondary","Health Teachers, Postsecondary","","Health Teachers, Postsecondary","Health Teachers, Postsecondary",335.0
363,"25-1071","detailed_occupation","Health Specialties Teachers, Postsecondary","Profesores de Especialidades de Salud de Nivel Postsecundario","Profesores de Especialidades de Salud, Postsecundario","Health Specialties Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",362.0
364,"25-1072","detailed_occupation","Nursing Instructors and Teachers, Postsecondary","Profesores e Instructores de Enfermería de Nivel Postsecundario","Profesores e Instructores de Enfermería, Postsecundario","Nursing Instructors and Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",362.0
365,"25-1080","broad_occupation","Education and Library Science Teachers, Postsecondary","Education and Library Science Teachers, Postsecondary","","Education and Library Science Teachers, Postsecondary","Education and Library Science Teachers, Postsecondary",335.0
366,"25-1081","detailed_occupation","Education Teachers, Postsecondary","Profesores de Educación de Nivel Postsecundario","Profesores de Educación de Nivel Postsecundario","Education Teachers, Postsecondary","Education Teachers, Postsecondary",365.0
367,"25-1082","detailed_occupation","Library Science Teachers, Postsecondary","Profesores de Bibliotecología de Nivel Postsecundario","Profesores de Bibliotecología, Postsecundario","Library Science Teachers, Postsecondary","Library Science Teachers, Postsecondary",365.0
368,"25-1110","broad_occupation","Law, Criminal Justice, and Social Work Teachers, Postsecondary","Law, Criminal Justice, and Social Work Teachers, Postsecondary","","Law, Criminal Justice, and Social Work Teachers, Postsecondary","Law, Criminal Justice, and Social Work Teachers, Postsecondary",335.0
369,"25-1111","detailed_occupation","Criminal Justice and Law Enforcement Teachers, Postsecondary","Profesores de Justicia Criminal y Aplicación y Cumplimiento de la Ley de Nivel Postsecundario","Profesores de Justicia Criminal, Aplicación y Cumplimiento de la Ley, Postsecundario","Criminal Justice and Law Enforcement Teachers, Postsecondary","Criminal Justice and Law Enforcement Teachers, Postsecondary",368.0
370,"25-1112","detailed_occupation","Law Teachers, Postsecondary","Profesores de Derecho de Nivel Postsecundario","Profesores de Derecho de Nivel Postsecundario","Law Teachers, Postsecondary","Law Teachers, Postsecondary",368.0
371,"25-1113","detailed_occupation","Social Work Teachers, Postsecondary","Profesores de Trabajo Social de Nivel Postsecundario","Profesores de Trabajo Social, Postsecundario","Social Work Teachers, Postsecondary","Social Work Teachers, Postsecondary",368.0
372,"25-1120","broad_occupation","Arts, Communications, and Humanities Teachers, Postsecondary","Arts, Communications, and Humanities Teachers, Postsecondary","","Arts, Communications, and Humanities Teachers, Postsecondary","Arts, Communications, and Humanities Teachers, Postsecondary",335.0
373,"25-1121","detailed_occupation","Art, Drama, and Music Teachers, Postsecondary","Profesores de Arte, Teatro y Música de Nivel Postsecundario","Profesores de Arte, Postsecundario","Art, Drama, and Music Teachers, Postsecondary","Art, Drama, and Music Teachers, Postsecondary",372.0
374,"25-1122","detailed_occupation","Communications Teachers, Postsecondary","Profesores de Comunicaciones de Nivel Postsecundario","Profesores de Comunicaciones, Postsecundario","Communications Teachers, Postsecondary","Communications Teachers, Postsecondary",372.0
375,"25-1123","detailed_occupation","English Language and Literature Teachers, Postsecondary","Profesores de Inglés y Literatura de Nivel Postsecundario","Profesores Inglés y Literatura, Postsecundario","English Language and Literature Teachers, Postsecondary","English Language and Literature Teachers, Postsecondary",372.0
376,"25-1124","detailed_occupation","Foreign Language and Literature Teachers, Postsecondary","Profesores de Lengua y Literatura Extranjeras de Nivel Postsecundario","Profesores de Lengua y Literatura Extranjeras, Postsecundario","Foreign Language and Literature Teachers, Postsecondary","Foreign Language and Literature Teachers, Postsecondary",372.0
377,"25-1125","detailed_occupation","History Teachers, Postsecondary","Profesores de Historia de Nivel Postsecundario","Profesores de Historia de Nivel Postsecundario","History Teachers, Postsecondary","History Teachers, Postsecondary",372.0
378,"25-1126","detailed_occupation","Philosophy and Religion Teachers, Postsecondary","Profesores de Filosofía y Religión de Nivel Postsecundario","Profesores de Filosofía y Religión, Postsecundario","Philosophy and Religion Teachers, Postsecondary","Philosophy and Religion Teachers, Postsecondary",372.0
379,"25-1190","broad_occupation","Miscellaneous Postsecondary Teachers","Miscellaneous Postsecondary Teachers","","Miscellaneous Postsecondary Teachers","Miscellaneous Postsecondary Teachers",335.0
