code,level,name_es,name_en,name_short_es,name_short_en,,,,name_orig_en,name_orig_es,code_orig
2708,4digit,Brea y coque de brea de alquitrán de hulla o de otros alquitranes minerales.,"Pitch and pitch coke, obtained from coal tar or from other mineral tars",Brea y coque de brea,Pitch and pitch coke,,,,Pitch and pitch coke,Brea y coque de brea,27.08
2709,4digit,Aceites crudos de petróleo o de mineral bituminoso.,"Petroleum oils and oils obtained from bituminous minerals, crude",Aceites crudos de petróleo,"Petroleum oils, crude",,,,"Petroleum oils, crude",Aceites crudos de petróleo o de mineral bituminoso,27.09
2711,4digit,Gas de petróleo y demás hidrocarburos gaseosos.,Petroleum gases and other gaseous hydrocarbons,Gas de petróleo,Petroleum gases,,,,Petroleum gases,Gas de petróleo y demás hidrocarburos gaseosos,27.11
2712,4digit,"Vaselina; parafina, cera de petróleo microcristalina, “slack wax”, ozoquerita, cera de lignito, cera de turba, demás ceras minerales y productos similares obtenidos por síntesis o por otros procedimientos, incluso coloreados.","Petroleum jelly; paraffin wax, microcrystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes and similar products obtained by synthesis or by other processes, whether or not colored",Vaselina,Petroleum jelly,,,,Petroleum jelly,Vaselina,27.12
2713,4digit,"Coque de petróleo, betún de petróleo y demás residuos de los aceites de petróleo o de mineral bituminoso.","Petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals",Coque de petróleo,Petroleum coke,,,,Petroleum coke,Coque de petróleo,27.13
2714,4digit,Betunes y asfaltos naturales; pizarras y arenas bituminosas; asfaltitas y rocas asfálticas.,"Bitumen and asphalt, natural; bituminous or oil shale and tar sands; asphaltites and asphaltic rocks",Betunes y asfaltos naturales,"Bitumen and asphalt, natural",,,,"Bitumen and asphalt, natural",Betunes y asfaltos naturales,27.14
2715,4digit,"Mezclas bituminosas a base de asfalto o de betún naturales, de betún de petróleo, de alquitrán mineral o de brea de alquitrán mineral (por ejemplo: mástiques bituminosos, “cut backs”).","Bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (for example, bituminous mastics, cut-backs)",Mezclas bituminosas,Bituminous mixtures,,,,"Bituminous mix, mastic from asphalt, bitumen/tar/pitc",Mezclas bituminosas,27.15
2716,4digit,Energía eléctrica.,Electrical energy,Energía eléctrica,Electrical energy,,,,Electrical energy,Energía eléctrica,27.16
2801,4digit,"Flúor, cloro, bromo y yodo.","Fluorine, chlorine, bromine and iodine","Flúor, cloro etc.","Flourine, chlorine etc.",,,,"Fluorine, chlorine, bromine and iodine","Flúor, cloro, bromo y yodo",28.01
2802,4digit,Azufre sublimado o precipitado; azufre coloidal.,"Sulfur, sublimed or precipitated; colloidal sulfur","Azufre sublimado, precipitado, o coloidal","Sulfur, sublimed or precipitated",,,,"Sulfur, sublimed or precipitated",Azufre sublimado o precipitado; azufre coloidal,28.02
2803,4digit,Carbono (negros de humo y otras formas de carbono no expresadas ni comprendidas en otra parte).,"Carbon, nesoi (including carbon black)",Carbono,Carbon,,,,"Carbon, nesoi",Carbono,28.03
2804,4digit,"Hidrógeno, gases nobles y demás elementos no metálicos.","Hydrogen, rare gases and other nonmetals",Hidrógeno y demás elementos no metálicos,Hydrogen and other nonmetals,,,,"Hydrogen, rare gases and other nonmetals","Hidrógeno, gases nobles y demás elementos no metálicos",28.04
2805,4digit,"Metales alcalinos o alcalinotérreos; metales de las tierras raras, escandio e itrio, incluso mezclados o aleados entre sí; mercurio.","Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury","Metales alcalinos, mercurio, etc.","Alkali metals, mercury etc.",,,,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium","Metales alcalinos, metales de las tierras raras, mercurio",28.05
2806,4digit,Cloruro de hidrógeno (ácido clorhídrico); ácido clorosulfúrico.,Hydrogen chloride (Hydrochloric acid); chlorosulfuric acid,Cloruro de hidrógeno,Hydrochloric or chlorosulfuric acid,,,,Hydrogen chloride (Hydrochloric acid); chlorosulfuric acid,Cloruro de hidrógeno; ácido clorosulfúrico,28.06
2807,4digit,Ácido sulfúrico; oleum.,Sulfuric acid; oleum,Ácido sulfúrico; oleum,"Sulfiric acid, oleum",,,,Sulfuric acid; oleum,Ácido sulfúrico; oleum,28.07
2808,4digit,Ácido nítrico; ácidos sulfonítricos.,Sulfonitric acids,Ácido nítrico,Sulfonitric acids,,,,Sulfonitric acids,Ácido nítrico; ácidos sulfonítricos,28.08
2809,4digit,"Pentóxido de difósforo; ácido fosfórico; ácidos polifosfóricos, aunque no sean de constitución química definida.","Diphosphorus pentaoxide; phosphoric acid; polyphosphoric acids, whether or not chemically defined",Ácido fosfórico etc.,Phosphoric acid etc.,,,,Diphosphorus pentaoxide; phosphoric acid; polyphosphoric acids,Pentóxido de difósforo; ácido fosfórico; ácidos polifosfóricos,28.09
2811,4digit,Los demás ácidos inorgánicos y los demás compuestos oxigenados inorgánicos de los elementos no metálicos.,Other inorganic acids and other inorganic oxygen compounds of nonmetals,Los demás ácidos inorgánicos,Other inorganic acids,,,,Other inorganic acids and other inorganic oxygen compounds of nonmetals,Los demás ácidos inorgánicos y los demás compuestos oxigenados inorgánicos de los elementos no metálicos,28.11
2812,4digit,Halogenuros y oxihalogenuros de los elementos no metálicos.,Halides and halide oxides of nonmetals,Halogenuros de los elementos no metálicos,Halides of nonmetals,,,,Halides and halide oxides of nonmetals,Halogenuros y oxihalogenuros de los elementos no metálicos,28.12
2813,4digit,Sulfuros de los elementos no metálicos; trisulfuro de fósforo comercial.,Sulfides of nonmetals; commercial phosphorus trisulfide,Sulfuros de los elementos no metálicos,Sulfides of nonmetals,,,,Sulfides of nonmetals,Sulfuros de los elementos no metálicos,28.13
2814,4digit,Amoníaco anhidro o en disolución acuosa.,"Ammonia, anhydrous or in aqueous solution",Amoníaco,Ammonia,,,,Ammonia,Amoníaco anhidro o en disolución acuosa,28.14
2815,4digit,Hidróxido de sodio (sosa o soda cáustica); hidróxido de potasio (potasa cáustica); peróxidos de sodio o de potasio.,Sodium hydroxide (Caustic soda); potassium hydroxide (Caustic potash); peroxides of sodium or potassium,Peróxidos y hidróxidos de sodio o de potasio,Sodium or potassium hydroxides or peroxides,,,,Sodium hydroxide; potassium hydroxide; peroxides of sodium or potassium,Hidróxido de sodio; hidróxido de potasio; peróxidos de sodio o de potasio,28.15
2816,4digit,"Hidróxido y peróxido de magnesio; óxidos, hidróxidos y peróxidos, de estroncio o de bario.","Hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides, of strontium or barium",Hidróxido y peróxido de magnesio,Hydroxides or peroxides of magnesium,,,,"Hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides, of strontium or barium","Hidróxido y peróxido de magnesio, o de estroncio o de bario",28.16
2817,4digit,Óxido de cinc; peróxido de cinc.,Zinc oxide; zinc peroxide,Óxido o peróxido de cinc,Zinc oxide or peroxide,,,,Zinc oxide and peroxide,Óxido de cinc; peróxido de cinc,28.17
2818,4digit,"Corindón artificial, aunque no sea de constitución química definida; óxido de aluminio; hidróxido de aluminio.","Artificial corundum, whether or not chemically defined; aluminum oxide; aluminum hydroxide",Corindón artificial o óxido de aluminio,"Artificial corundum, aluminum oxide etc.",,,,Artificial corundum,Corindón artificial,28.18
2819,4digit,Óxidos e hidróxidos de cromo.,Chromium oxides and hydroxides,Óxidos e hidróxidos de cromo,Chromium oxides and hydroxides,,,,Chromium oxides and hydroxides,Óxidos e hidróxidos de cromo,28.19
2821,4digit,"Óxidos e hidróxidos de hierro; tierras colorantes con un contenido de hierro combinado, expresado en Fe2O3, superior o igual al 70% en peso.",Iron oxides and hydroxides; earth colors containing 70 percent or more by weight of combined iron evaluated as Fe2O3,Óxidos e hidróxidos de hierro,Iron oxides and hydroxides,,,,Iron oxides and hydroxides,Óxidos e hidróxidos de hierro,28.21
2822,4digit,Óxidos e hidróxidos de cobalto; óxidos de cobalto comerciales.,Cobalt oxides and hydroxides; commercial cobalt oxides,Óxidos e hidróxidos de cobalto,Cobalt oxides and hydroxides,,,,Cobalt oxides and hydroxides,Óxidos e hidróxidos de cobalto,28.22
2823,4digit,Óxidos de titanio.,Titanium oxides,Óxidos de titanio,Titanium oxides,,,,Titanium oxides,Óxidos de titanio,28.23
2824,4digit,Óxidos de plomo; minio y minio anaranjado.,Lead oxides; red lead and orange lead,Óxidos de plomo,Lead oxides,,,,Lead oxides,Óxidos de plomo; minio y minio anaranjado,28.24
2825,4digit,"Hidrazina e hidroxilamina y sus sales inorgánicas; las demás bases inorgánicas; los demás óxidos, hidróxidos y peróxidos de metales.","Hydrazine and hydroxylamine and their inorganic salts; other inorganic bases; other metal oxides, hydroxides and peroxides",Hidrazina e hidroxilamina,Hydrazine and hydroxylamine,,,,"Hydrazine and hydroxylamine, inorganic salts",Hidrazina e hidroxilamina y sus sales inorgánicas,28.25
2826,4digit,"Fluoruros; fluorosilicatos, fluoroaluminatos y demás sales complejas de flúor.","Fluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts",Fluoruros,Flourides,,,,"Fluorides; fluorosilicates, fluoroaluminates","Fluoruros; fluorosilicatos, fluoroaluminatos",28.26
2827,4digit,"Cloruros, oxicloruros e hidroxicloruros; bromuros y oxibromuros; yoduros y oxiyoduros.","Chlorides, chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and iodide oxides","Cloruros, bromuros, yoduros, etc","Chlorides, bromides, iodides etc.",,,,"Chlorides, chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and iodide oxides","Cloruros, bromuros, yoduros, etc",28.27
2828,4digit,Hipocloritos; hipoclorito de calcio comercial; cloritos; hipodromitos.,Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites,Hipocloritos,Hyopchlorites,,,,Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites,Hipocloritos; hipoclorito de calcio comercial; cloritos; hipodromitos,28.28
2829,4digit,Cloratos y percloratos; bromatos y perbromatos; yodatos y peryodatos.,Chlorates and perchlorates; bromates and perbromates; iodates and periodates,Cloratos; bromatos; yodatos,"Chlorates, bromates, y iodates",,,,Chlorates and perchlorates; bromates and perbromates; iodates and periodates,Cloratos; bromatos; yodatos,28.29
2831,4digit,Ditionitos y sulfoxilatos.,Dithionites and sulfoxylates,Ditionitos y sulfoxilatos,Dithionites and sulfoxylates,,,,Dithionites and sulfoxylates,Ditionitos y sulfoxilatos,28.31
2832,4digit,Sulfitos; tiosulfatos.,Sulfites; thiosulfates,Sulfitos; tiosulfatos,Sulfites,,,,Sulfites; thiosulfates,Sulfitos; tiosulfatos,28.32
2833,4digit,Sulfatos; alumbres; peroxosulfatos (persulfatos).,Sulfates; alums; peroxosulfates (persulfates),Sulfatos,Sulfates,,,,Sulfates; alums; peroxosulfates (persulfates),Sulfatos; alumbres; peroxosulfatos (persulfatos),28.33
2834,4digit,Nitritos; nitratos.,Nitrites; nitrates,Nitritos; nitratos,"Nitrites, nitrates",,,,Nitrites; nitrates,Nitritos; nitratos,28.34
2835,4digit,"Fosfinatos (hipofosfitos), fosfonatos (fosfitos) y fosfatos; polifosfatos, aunque no sean de constitución química definida.","Phosphinates (hypophosphites), phosphonates (phosphites) and phosphates; polyphosphates, whether or not chemically defined",Fosfatos,Phosphates,,,,Phosphinates and phosphonates,"Fosfinatos, fosfonatos y fosfatos",28.35
2836,4digit,Carbonatos; peroxocarbonatos (percarbonatos); carbonato de amonio comercial que contenga carbamato de amonio.,Carbonates; peroxocarbonates (percarbonates); commercial ammonium carbonate containing ammonium carbamate,Carbonatos,Carbonates,,,,Carbonates; peroxocarbonates (percarbonates); commercial ammonium carbonate containing ammonium carbamate,Carbonatos; peroxocarbonatos; carbamato de amonio,28.36
2837,4digit,"Cianuros, oxicianuros y cianuros complejos.","Cyanides, cyanide oxides and complex cyanides",Cianuros,Cyanides,,,,Cyanides,"Cianuros, oxicianuros y cianuros complejos",28.37
2839,4digit,Silicatos; silicatos comerciales de los metales alcalinos.,Silicates; commercial alkali metal silicates,Silicatos,Silicates,,,,Silicates; commercial alkali metal silicates,Silicatos; silicatos comerciales de los metales alcalinos,28.39
2841,4digit,Sales de los ácidos oxometálicos o peroxometálicos.,Salts of oxometallic or peroxometallic acids,Sales de los ácidos oxometálicos,Salts of oxometallic acids,,,,Salts of oxometallic or peroxometallic acids,Sales de los ácidos oxometálicos o peroxometálicos,28.41
2842,4digit,"Las demás sales de los ácidos o peroxoácidos inorgánicos (incluidos los aluminosilicatos, aunque no sean de constitución química definida), excepto los aziduros (azidas).","Other salts of inorganic acids or peroxoacids (including aluminosilicates whether or not chemically defined), other than azides",Las demás sales de los ácidos,Other salts of acids,,,,Other salts of inorganic acids or peroxoacids,Las demás sales de los ácidos o peroxoácidos inorgánicos,28.42
2843,4digit,"Metal precioso en estado coloidal; compuestos inorgánicos u orgánicos de metal precioso, aunque no sean de constitución química definida; amalgamas de metal precioso.","Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals",Compuestos de metal precioso,Compounds of precious metals,,,,Colloidal precious metals; inorganic or organic compounds of precious metals,Compuestos inorgánicos u orgánicos de metal precioso,28.43
2844,4digit,Elementos químicos radiactivos e isótopos radiactivos (incluidos los elementos químicos e isótopos fisionables o fértiles) y sus compuestos; mezclas y residuos que contengan estos productos.,Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products,Elementos químicos radiactivos,Radioactive chemical elements,,,,Radioactive chemical elements and radioactive isotopes,Elementos químicos radiactivos e isótopos radiactivos,28.44
2845,4digit,"Isótopos, excepto los de la partida 28.44; sus compuestos inorgánicos u orgánicos, aunque no sean de constitución química definida.","Isotopes other than those of heading 2844; compounds, inorganic or organic, of such isotopes, whether or not chemically defined",Isótopos no radiactivos,Non-radioactive isotopes,,,,Isotopes not elsewhere specified,Isótopos no radiactivos,28.45
2846,4digit,"Compuestos inorgánicos u orgánicos, de metales de las tierras raras, del itrio, del escandio o de las mezclas de estos metales.","Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium, or of mixtures of these metals",Compuestos de metales de las tierras raras,Compounds of rare-earth metals,,,,"Compounds, inorganic or organic, of rare-earth metals","Compuestos inorgánicos u orgánicos, de metales de las tierras raras",28.46
2847,4digit,"Peróxido de hidrógeno (agua oxigenada), incluso solidificado con urea.","Hydrogen peroxide, whether or not solidified with urea",Peróxido de hidrógeno,Hydrogen peroxide,,,,Hydrogen peroxide,Peróxido de hidrógeno,28.47
2848,4digit,"Fosfuros, aunque no sean de constitución química definida, excepto los ferrofósforos.","Phosphides, whether or not chemically defined, excluding ferrophosphorus",Fosfuros,Phosphides,,,,Phosphides,Fosfuros,28.48
2849,4digit,"Carburos, aunque no sean de constitución química definida.","Carbides, whether or not chemically defined",Carburos,Carbides,,,,Carbides,"Carburos, aunque no sean de constitución química definida",28.49
2852,4digit,"Compuestos inorgánicos u orgánicos, de mercurio, aunque no sean de constitución química definida, excepto las amalgamas.",,Compuestos de mercurio,Compounds of mercury ,,,,,"Compuestos inorgánicos u orgánicos, de mercurio, aunque no sean de constitución química definida, excepto las amalgamas",28.52
2853,4digit,"Los demás compuestos inorgánicos (incluida el agua destilada, de conductibilidad o del mismo grado de pureza); aire líquido, aunque se le hayan eliminado los gases nobles; aire comprimido; amalgamas, excepto las de metal precioso.",,Los demás compuestos inorgánicos,Other inorganic compounds,,,,,"Los demás compuestos inorgánicos (incluida el agua destilada, de conductibilidad o del mismo grado de pureza); aire líquido, aunque se le hayan eliminado los gases nobles; aire comprimido; amalgamas, excepto las de metal precioso",28.53
2901,4digit,Hidrocarburos acíclicos.,Acyclic hydrocarbons,Hidrocarburos acíclicos,Acyclic hydrocarbons,,,,Acyclic hydrocarbons,Hidrocarburos acíclicos,29.01
2902,4digit,Hidrocarburos cíclicos.,Cyclic hydrocarbons,Hidrocarburos cíclicos,Cyclic hydrocarbons,,,,Cyclic hydrocarbons,Hidrocarburos cíclicos,29.02
2903,4digit,Derivados halogenados de los hidrocarburos.,Halogenated derivatives of hydrocarbons,Derivados halogenados de los hidrocarburos,Halogenated derivatives of hydrocarbons,,,,Halogenated derivatives of hydrocarbons,Derivados halogenados de los hidrocarburos,29.03
2904,4digit,"Derivados sulfonados, nitrados o nitrosados de los hidrocarburos, incluso halogenados.","Sulfonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated","Derivados sulfonados, nitrados de los hidrocarburos","Sulfonated, nitrated derivatives of hydrocarbons",,,,"Sulfonated, nitrated or nitrosated derivatives of hydrocarbons","Derivados sulfonados, nitrados o nitrosados de los hidrocarburos",29.04
2905,4digit,"Alcoholes acíclicos y sus derivados halogenados, sulfonados, nitrados o nitrosados.","Acyclic alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives",Alcoholes acíclicos,Acyclic alcohols,,,,Acyclic alcohols,Alcoholes acíclicos,29.05
2906,4digit,"Alcoholes cíclicos y sus derivados halogenados, sulfonados, nitrados o nitrosados.","Cyclic alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives",Alcoholes cíclicos,Cyclic alcohols,,,,"Cyclic alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives","Alcoholes cíclicos y sus derivados halogenados, sulfonados, nitrados",29.06
2907,4digit,Fenoles; fenoles-alcoholes.,Phenols; phenol-alcohols,Fenoles; fenoles-alcoholes,"Phenols, phenol-alcohols",,,,Phenols; phenol-alcohols,Fenoles; fenoles-alcoholes,29.07
2908,4digit,"Derivados halogenados, sulfonados, nitrados o nitrosados, de los fenoles o de los fenoles-alcoholes.","Halogenated, sulfonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols",Derivados de los fenoles,Derivatives of phenols,,,,"Halogenated, sulfonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols","Derivados halogenados, sulfonados, nitrados, de los fenoles o de los fenoles-alcoholes",29.08
2909,4digit,"Éteres, éteres-alcoholes, éteres-fenoles, éteres-alcoholes-fenoles, peróxidos de alcoholes, peróxidos de éteres, peróxidos de cetonas (aunque no sean de constitución química definida), y sus derivados halogenados, sulfonados, nitrados o nitrosados.","Ethers, ether-alcohols, ether-phenols, ether-alcohol-phenols, alcohol peroxides, ether peroxides, ketone peroxides (whether or not chemically defined), and their halogenated, sulfonated, nitrated or nitrosated derivatives",Etheres,Ethers,,,,Ethers,Etheres,29.09
2911,4digit,"Acetales y semiacetales, incluso con otras funciones oxigenadas, y sus derivados halogenados, sulfonados, nitrados o nitrosados.","Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulfonated, nitrated or nitrosated derivatives",Acetales y semiacetales,Acetals and hemiacetals,,,,Acetals and hemiacetals,Acetales y semiacetales,29.11
2912,4digit,"Aldehídos, incluso con otras funciones oxigenadas; polímeros cíclicos de los aldehídos; paraformaldehído.","Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde",Aldehídos,Aldehydes,,,,Aldehydes,Aldehídos,29.12
2913,4digit,"Derivados halogenados, sulfonados, nitrados o nitrosados de los productos de la partida 29.12.","Halogenated, sulfonated, nitrated or nitrosated derivatives of products of heading 2912",Derivados de los aldehídos,Derivatives of aldehydes,,,,"Halogenated, sulfonated, nitrated or nitrosated derivatives of aldehydes","Derivados halogenados, sulfonados, nitrados de los aldehídos",29.13
2914,4digit,"Cetonas y quinonas, incluso con otras funciones oxigenadas, y sus derivados halogenados, sulfonados, nitrados o nitrosados.","Ketones and quinones, whether or not with other oxygen function, and their halogenated, sulfonated, nitrated, or nitrosated derivatives",Cetonas y quinonas,Ketones and quinones,,,,Ketones and quinones,Cetonas y quinonas,29.14
2915,4digit,"Ácidos monocarboxílicos acíclicos saturados y sus anhídridos, halogenuros, peróxidos y peroxiácidos; sus derivados halogenados, sulfonados, nitrados o nitrosados.","Saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulfonated, nitrated or nitrosated derivatives",Ácidos monocarboxílicos acíclicos saturados,Saturated acyclic monocarboxylic acids,,,,Saturated acyclic monocarboxylic acids,Ácidos monocarboxílicos acíclicos saturados,29.15
2916,4digit,"Ácidos monocarboxílicos acíclicos no saturados y ácidos monocarboxílicos cíclicos, sus anhídridos, halogenuros, peróxidos y peroxiácidos; sus derivados halogenados, sulfonados, nitrados o nitrosados.","Unsaturated acyclic monocarboxylic acids, cyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulfonated, nitrated or nitrosated derivatives",Ácidos monocarboxílicos acíclicos no saturados,Unsaturated acyclic monocarboxylic acids,,,,Unsaturated acyclic monocarboxylic acids,Ácidos monocarboxílicos acíclicos no saturados,29.16
2917,4digit,"Ácidos policarboxílicos, sus anhídridos, halogenuros, peróxidos y peroxiácidos; sus derivados halogenados, sulfonados, nitrados o nitrosados.","Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulfonated, nitrated or nitrosated derivatives",Ácidos policarboxílicos,Polycarboxylic acids,,,,Polycarboxylic acids,Ácidos policarboxílicos,29.17
2918,4digit,"Ácidos carboxílicos con funciones oxigenadas suplementarias y sus anhídridos, halogenuros, peróxidos y peroxiácidos; sus derivados halogenados, sulfonados, nitrados o nitrosados.","Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulfonated, nitrated or nitrosated derivatives",Ácidos carboxílicos con funciones oxigenadas suplementarias,Carboxylic acids with additional oxygen function,,,,Carboxylic acids with additional oxygen function,Ácidos carboxílicos con funciones oxigenadas suplementarias,29.18
2919,4digit,"Ésteres fosfóricos y sus sales, incluidos los lactofosfatos; sus derivados halogenados, sulfonados, nitrados o nitrosados.","Phosphoric esters and their salts, including lactophosphates; their halogenated, sulfonated, nitrated or nitrosated derivatives",Ésteres fosfóricos,Phosporic esters,,,,Phosphoric esters and their salts,Ésteres fosfóricos y sus sales,29.19
2921,4digit,Compuestos con función amina.,Amine-function compounds,Compuestos con función amina,Amine-function compounds,,,,Amine-function compounds,Compuestos con función amina,29.21
2922,4digit,Compuestos aminados con funciones oxigenadas.,Oxygen-function amino-compounds,Compuestos aminados con funciones oxigenadas,Oxygen-function amino-compounds,,,,Oxygen-function amino-compounds,Compuestos aminados con funciones oxigenadas,29.22
2923,4digit,"Sales e hidróxidos de amonio cuaternario; lecitinas y demás fosfoaminolípidos, aunque no sean de constitución química definida.","Quaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids, whether or not chemically defined",Sales e hidróxidos de amonio cuaternario,Quaternary ammonium salts and hydroxides,,,,Quaternary ammonium salts and hydroxides,Sales e hidróxidos de amonio cuaternario,29.23
2924,4digit,Compuestos con función carboxiamida; compuestos con función amida del ácido carbónico.,Carboxyamide-function compounds; amide-function compounds of carbonic acid,Compuestos con función carboxiamida,Carboxyamide-function compounds,,,,Carboxyamide-function compounds,Compuestos con función carboxiamida,29.24
2925,4digit,Compuestos con función carboxiimida (incluida la sacarina y sus sales) o con función imina.,Carboxyimide-function compounds (including saccharin and its salts) and imine-function compounds,Compuestos con función carboxiimida,Carboxyimide-function compounds,,,,Carboxyimide-function compounds,Compuestos con función carboxiimida,29.25
2926,4digit,Compuestos con función nitrilo.,Nitrile-function compounds,Compuestos con función nitrilo,Nitrile-function compounds ,,,,Nitrile-function compounds,Compuestos con función nitrilo,29.26
2927,4digit,"Compuestos diazoicos, azoicos o azoxi.","Diazo-, azo- or azoxy-compounds","Compuestos diazoicos, azoicos o azoxi","Diazo-, azo-, or azoxy-compounds",,,,"Diazo-, azo- or azoxy-compounds:","Compuestos diazoicos, azoicos o azoxi",29.27
2928,4digit,Derivados orgánicos de la hidrazina o de la hidroxilamina.,Organic derivatives of hydrazine or of hydroxylamine,Derivados orgánicos de la hidrazina,Organix derivatives of hydrazine,,,,Organic derivatives of hydrazine or of hydroxylamine:,Derivados orgánicos de la hidrazina o de la hidroxilamina,29.28
2929,4digit,Compuestos con otras funciones nitrogenadas.,Compounds with other nitrogen function,Compuestos con otras funciones nitrogenadas,Compounds with other nitrogen function,,,,Compounds with other nitrogen function,Compuestos con otras funciones nitrogenadas,29.29
2931,4digit,Los demás compuestos órgano-inorgánicos.,Other organo-inorganic compounds,Los demás compuestos órgano-inorgánicos,Other organo-inorganic compounds,,,,Other organo-inorganic compounds,Los demás compuestos órgano-inorgánicos,29.31
2932,4digit,Compuestos heterocíclicos con heteroátomo(s) de oxígeno exclusivamente.,Heterocyclic compounds with oxygen hetero-atom(s) only,Compuestos heterocíclicos con heteroátomo(s) de oxígeno exclusivamente,Heterocyclic compounds with oxygen hetero-atom(s) only,,,,Heterocyclic compounds with oxygen hetero-atom(s) only,Compuestos heterocíclicos con heteroátomo(s) de oxígeno exclusivamente,29.32
2933,4digit,Compuestos heterocíclicos con heteroátomo(s) de nitrógeno exclusivamente.,Heterocyclic compounds with nitrogen hetero-atom(s) only,Compuestos heterocíclicos con heteroátomo(s) de nitrógeno exclusivamente,Heterocyclic compounds with nitrogen hetero-atom(s) only,,,,Heterocyclic compounds with nitrogen hetero-atom(s) only,Compuestos heterocíclicos con heteroátomo(s) de nitrógeno exclusivamente,29.33
2934,4digit,"Ácidos nucleicos y sus sales, aunque no sean de constitución química definida; los demás compuestos heterocíclicos.","Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds",Ácidos nucleicos y sus sales,Nucleic acids and their salts,,,,Nucleic acids and their salts,Ácidos nucleicos y sus sales,29.34
2935,4digit,Sulfonamidas.,Sulfonamides,Sulfonamidas,Sulfonamides,,,,Sulfonamides,Sulfonamidas,29.35
2936,4digit,"Provitaminas y vitaminas, naturales o reproducidas por síntesis (incluidos los concentrados naturales) y sus derivados utilizados principalmente como vitaminas, mezclados o no entre sí o en disoluciones de cualquier clase.","Provitamins and vitamins, natural or reproduced by synthesis (including natural concentrates), derivatives thereof used primarily as vitamins, and intermixtures of the foregoing, whether or not in any solvent",Vitaminas,Vitamins,,,,Vitamins,Vitaminas,29.36
2937,4digit,"Hormonas, prostaglandinas, tromboxanos y leucotrienos, naturales o reproducidos por síntesis; sus derivados y análogos estructurales, incluidos los polipéptidos de cadena Modificada, utilizados principalmente como hormonas.","Hormones, prostaglandins, thromboxanes and leukotrienes, natural or reproduced by synthesis; derivatives and structural analogues thereof, including chain modified polypeptides, used primarily as hormones",Hormonas,Hormones,,,,Hormones,Hormonas,29.37
2938,4digit,"Heterósidos, naturales o reproducidos por síntesis, sus sales, éteres, ésteres y demás derivados.","Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives",Heterósidos,Glycosides,,,,Glycosides,Heterósidos,29.38
2939,4digit,"Alcaloides vegetales, naturales o reproducidos por síntesis, sus sales, éteres, ésteres y demás derivados.","Vegetable alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives",Alcaloides vegetales,Vegetable alkaloids,,,,Vegetable alkaloids,Alcaloides vegetales,29.39
2941,4digit,Antibióticos.,Antibiotics,Antibióticos,Antibiotics,,,,Antibiotics,Antibióticos,29.41
2942,4digit,Los demás compuestos orgánicos.,Other organic compounds,Los demás compuestos orgánicos,Other organic compounds,,,,Other organic compounds,Los demás compuestos orgánicos,29.42
3001,4digit,"Glándulas y demás órganos para usos opoterápicos, desecados, incluso pulverizados; extractos de glándulas o de otros órganos o de sus secreciones, para usos opoterápicos; heparina y sus sales; las demás sustancias humanas o animales preparadas para usos terapéuticos o profilácticos, no expresadas ni comprendidas en otra parte.","Glands and other organs for organotherapeutic uses, dried, whether or not powdered; extracts of glands or other organs or of their secretions for organotherapeutic uses; heparin and its salts; other human or animal substances prepared for therapeutic or p",Órganos para usos opoterapicos,Organs for therapeutic use,,,,Glands and other organs,Glándulas y demás órganos,30.01
