"","name_es","name_en","name_short_es","name_short_en","code","level","parent_id","name"
153,"Pedagogos, orientadores educativos y otros especialistas en ciencias educativas","Pedagogues, educational counselors and other specialists in educational sciences","Pedagogos, orientadores educativos y otros especialistas en ciencias educativas","Pedagogues and other specialists in educational sciences","2312","4digit",190.0,"Pedagogues, educational counselors and other specialists in educational sciences"
154,"Profesores de nivel medio y superior","High school and university teachers","Profesores de nivel medio y superior","High school and university teachers","232","3digit",189.0,"High school and university teachers"
155,"Profesores universitarios y de enseñanza superior","University and higher education teachers","Profesores universitarios y de enseñanza superior","University and higher education teachers","2321","4digit",194.0,"University and higher education teachers"
156,"Profesores de preparatoria y equivalentes","High school, or equivalent, teachers","Profesores de preparatoria y equivalentes","High school, or equivalent, teachers","2322","4digit",194.0,"High school, or equivalent, teachers"
157,"Profesores de nivel básico","Entry-level teachers","Profesores de nivel básico","Entry-level teachers","233","3digit",189.0,"Entry-level teachers"
158,"Profesores de enseñanza secundaria","High school teachers","Profesores de enseñanza secundaria","High school teachers","2331","4digit",197.0,"High school teachers"
159,"Profesores de enseñanza primaria","Primary school teachers","Profesores de enseñanza primaria","Primary school teachers","2332","4digit",197.0,"Primary school teachers"
160,"Alfabetizadores","Literacy tutors","Alfabetizadores","Literacy tutors","2333","4digit",197.0,"Literacy tutors"
161,"Profesores de enseñanza bilingüe (indígena)","Bilingual teachers (aboriginal)","Profesores de enseñanza bilingüe (indígena)","Bilingual teachers (aboriginal)","2334","4digit",197.0,"Bilingual teachers (aboriginal)"
162,"Profesores de enseñanza preescolar","Preschool teachers","Profesores de enseñanza preescolar","Preschool teachers","2335","4digit",197.0,"Preschool teachers"
163,"Otros profesores de nivel básico, no clasificados anteriormente","Other entry-level teachers, not included above","Otros profesores de nivel básico, no clasificados anteriormente","Other entry-level teachers, not included above","2339","4digit",197.0,"Other entry-level teachers, not included above"
164,"Profesores en enseñanza especial","Special education teachers","Profesores en enseñanza especial","Special education teachers","234","3digit",189.0,"Special education teachers"
165,"Profesores de personas con problemas de audición y lenguaje","Teachers of people with hearing and language impairments","Profesores de personas con problemas de audición y lenguaje","Teachers of people with hearing and language impairments","2341","4digit",204.0,"Teachers of people with hearing and language impairments"
166,"Profesores de personas con problemas de aprendizaje","Teachers of people with learning disabilities","Profesores de personas con problemas de aprendizaje","Teachers of people with learning disabilities","2342","4digit",204.0,"Teachers of people with learning disabilities"
167,"Otros profesores de enseñanza especial","Other special education teachers","Otros profesores de enseñanza especial","Other special education teachers","2343","4digit",204.0,"Other special education teachers"
168,"Otros profesores y especialistas en docencia, no clasificados anteriormente","Other teachers and specialists in teaching, not included above","Otros profesores y especialistas en docencia, no clasificados anteriormente","Other teachers and specialists in teaching","239","3digit",189.0,"Other teachers and specialists in teaching, not included above"
169,"Otros profesores y especialistas en docencia, no clasificados anteriormente","Other teachers and specialists in teaching, not included above","Otros profesores y especialistas en docencia, no clasificados anteriormente","Other teachers and specialists in teaching","2391","4digit",208.0,"Other teachers and specialists in teaching, not included above"
170,"Médicos, enfermeras y otros especialistas en salud","Doctors, nurses and other health specialists","Médicos, enfermeras y otros especialistas en salud","Doctors, nurses and other health specialists","24","2digit",114.0,"Doctors, nurses and other health specialists"
171,"Médicos generales y especialistas","General practitioners and specialists","Médicos generales y especialistas","General practitioners and specialists","241","3digit",212.0,"General practitioners and specialists"
172,"Médicos generales y familiares","General and family practitioners","Médicos generales y familiares","General and family practitioners","2411","4digit",213.0,"General and family practitioners"
173,"Médicos especialistas","Medical specialists","Médicos especialistas","Medical specialists","2412","4digit",213.0,"Medical specialists"
174,"Dentistas","Dentists","Dentistas","Dentists","2413","4digit",213.0,"Dentists"
175,"Otros especialistas en salud","Other health specialists","Otros especialistas en salud","Other health specialists","242","3digit",212.0,"Other health specialists"
176,"Ingenieros biomédicos","Biomedical engineers","Ingenieros biomédicos","Biomedical engineers","2421","4digit",217.0,"Biomedical engineers"
177,"Optometristas","Optometrists","Optometristas","Optometrists","2422","4digit",217.0,"Optometrists"
178,"Nutriólogos","Nutritionists","Nutriólogos","Nutritionists","2423","4digit",217.0,"Nutritionists"
179,"Especialistas en seguridad e higiene y salud pública","Health and safety, and public health specialists","Especialistas en seguridad e higiene y salud pública","Health and safety, and public health specialists","2424","4digit",217.0,"Health and safety, and public health specialists"
180,"Especialistas en medicina tradicional y alternativa","Traditional and alternative medicine specialists","Especialistas en medicina tradicional y alternativa","Traditional and alternative medicine specialists","2425","4digit",217.0,"Traditional and alternative medicine specialists"
181,"Enfermeras especialistas","Nurse specialists","Enfermeras especialistas","Nurse specialists","2426","4digit",217.0,"Nurse specialists"
182,"Fisioterapeutas, audiólogos y logopedas","Physiotherapists, audiologists and speech therapists","Fisioterapeutas, audiólogos y logopedas","Physiotherapists, audiologists and speech therapists","2427","4digit",217.0,"Physiotherapists, audiologists and speech therapists"
183,"Farmacólogos","Pharmacologists","Farmacólogos","Pharmacologists","2428","4digit",217.0,"Pharmacologists"
184,"Auxiliares y técnicos en ciencias económico-administrativas, ciencias sociales, humanistas y en artes","Assistants and technicians in economic and administrative sciences, social sciences, arts and humanities","Auxiliares y técnicos en ciencias económico-administrativas, ciencias sociales, humanistas y en artes","Assistants in socio-econ. and admin. sciences, arts and humanities","25","2digit",114.0,"Assistants and technicians in economic and administrative sciences, social sciences, arts and humanities"
185,"Auxiliares en administración, contabilidad y finanzas","Administration, accounting and finance assistants","Auxiliares en administración, contabilidad y finanzas","Administration, accounting and finance assistants","251","3digit",226.0,"Administration, accounting and finance assistants"
186,"Auxiliares en administración, mercadotecnia, comercialización y comercio exterior","Administration, marketing, sales and foreign trade assistants","Auxiliares en administración, mercadotecnia, comercialización y comercio exterior","Assistants in administration, marketing and foreign trade","2511","4digit",228.0,"Administration, marketing, sales and foreign trade assistants"
187,"Auxiliares en contabilidad, economía, finanzas y agentes de bolsa","Accounting, economics and financial assistants and brokers","Auxiliares en contabilidad, economía, finanzas y agentes de bolsa","Accounting, economics and financial assistants and brokers","2512","4digit",228.0,"Accounting, economics and financial assistants and brokers"
188,"Tramitadores aduanales","Customs brokers","Tramitadores aduanales","Customs brokers","2513","4digit",228.0,"Customs brokers"
189,"Valuadores, subastadores y rematadores","Appraisers and auctioneers","Valuadores, subastadores y rematadores","Appraisers and auctioneers","2514","4digit",228.0,"Appraisers and auctioneers"
190,"Inspectores públicos","Public inspectors","Inspectores públicos","Public inspectors","252","3digit",226.0,"Public inspectors"
191,"Oficiales del ministerio público y detectives","Official prosecutors and inspectors","Oficiales del ministerio público y detectives","Official prosecutors and inspectors","2521","4digit",234.0,"Official prosecutors and inspectors"
192,"Agentes aduanales y fronterizos","Customs and border agents","Agentes aduanales y fronterizos","Customs and border agents","2522","4digit",234.0,"Customs and border agents"
193,"Agentes de recaudación tributaria y de licencias","Tax and license collection agents","Agentes de recaudación tributaria y de licencias","Tax and license collection agents","2523","4digit",234.0,"Tax and license collection agents"
194,"Inspectores en seguridad social, de precios y otros inspectores públicos","Social security and pricing inspectors, and other public inspectors","Inspectores en seguridad social, de precios y otros inspectores públicos","Inspectors in social security, pricing and other","2524","4digit",234.0,"Social security and pricing inspectors, and other public inspectors"
195,"Auxiliares en ciencias sociales y humanistas","Social and human sciences assistants","Auxiliares en ciencias sociales y humanistas","Social and human sciences assistants","253","3digit",226.0,"Social and human sciences assistants"
196,"Auxiliares en ciencias sociales y humanistas","Social and human sciences assistants","Auxiliares en ciencias sociales y humanistas","Social and human sciences assistants","2531","4digit",239.0,"Social and human sciences assistants"
197,"Auxiliares en servicios jurídicos","Legal services assistants","Auxiliares en servicios jurídicos","Legal services assistants","2532","4digit",239.0,"Legal services assistants"
198,"Monjas y predicadores","Nuns and preachers","Monjas y predicadores","Nuns and preachers","2533","4digit",239.0,"Nuns and preachers"
199,"Diseñadores de modas, industriales, gráficos y decoradores de interiores","Fashion, industrial, graphic and interior designers","Diseñadores de modas, industriales, gráficos y decoradores de interiores","Fashion, industrial, graphic and interior designers","254","3digit",226.0,"Fashion, industrial, graphic and interior designers"
200,"Diseñadores de moda y vestuario","Fashion and clothing designers","Diseñadores de moda y vestuario","Fashion and clothing designers","2541","4digit",243.0,"Fashion and clothing designers"
201,"Diseñadores industriales","Industrial designers","Diseñadores industriales","Industrial designers","2542","4digit",243.0,"Industrial designers"
202,"Diseñadores gráficos","Graphic designers","Diseñadores gráficos","Graphic designers","2543","4digit",243.0,"Graphic designers"
203,"Decoradores de interiores, jardines y diversos materiales (tazas, llaveros, etcétera)","Interior decorators, gardens and objects (mugs, key chains, etc.)","Decoradores de interiores, jardines y diversos materiales (tazas, llaveros, etcétera)","Decorators of interiors, gardens and objects","2544","4digit",243.0,"Interior decorators, gardens and objects (mugs, key chains, etc.)"
204,"Locutores, animadores y payasos","Broadcasters, entertainers and clowns","Locutores, animadores y payasos","Broadcasters, entertainers and clowns","255","3digit",226.0,"Broadcasters, entertainers and clowns"
205,"Locutores de radio, televisión y otros medios de comunicación","Announcers on radio, television and other media","Locutores de radio, televisión y otros medios de comunicación","Announcers on radio, television and other media","2551","4digit",251.0,"Announcers on radio, television and other media"
206,"Animadores y organizadores de eventos","Entertainers and event organizers","Animadores y organizadores de eventos","Entertainers and event organizers","2552","4digit",251.0,"Entertainers and event organizers"
207,"Payasos, mimos y cirqueros","Clowns, mimes and circus performers","Payasos, mimos y cirqueros","Clowns, mimes and circus performers","2553","4digit",251.0,"Clowns, mimes and circus performers"
208,"Deportistas, entrenadores y árbitros","Athletes, coaches and referees","Deportistas, entrenadores y árbitros","Athletes, coaches and referees","256","3digit",226.0,"Athletes, coaches and referees"
209,"Deportistas","Athletes","Deportistas","Athletes","2561","4digit",255.0,"Athletes"
210,"Entrenadores deportivos y directores técnicos","Coaches and managers","Entrenadores deportivos y directores técnicos","Coaches and managers","2562","4digit",255.0,"Coaches and managers"
211,"Árbitros y jueces deportivos","Sports referees and judges","Árbitros y jueces deportivos","Sports referees and judges","2563","4digit",255.0,"Sports referees and judges"
212,"Auxiliares y técnicos en ciencias exactas, biológicas, ingeniería, informática y en telecomunicaciones","Assistants and technicians in exact sciences, biological sciences, engineering, informatics and telecommunications","Auxiliares y técnicos en ciencias exactas, biológicas, ingeniería, informática y en telecomunicaciones","Assistants in sciences, engineering, and ICT","26","2digit",114.0,"Assistants and technicians in exact sciences, biological sciences, engineering, informatics and telecommunications"
213,"Auxiliares y técnicos en ciencias físicas, matemáticas, biológicas, químicas, del medio ambiente y agronómicas","Assistants and technicians in physics, mathematics, biology, chemistry, environmental and agronomic sciences","Auxiliares y técnicos en ciencias físicas, matemáticas, biológicas, químicas, del medio ambiente y agronómicas","Assistants in physical, biological and environmental sciences","261","3digit",259.0,"Assistants and technicians in physics, mathematics, biology, chemistry, environmental and agronomic sciences"
214,"Auxiliares y técnicos en física, matemáticas, estadística y actuaría","Assistants and technicians in physics, mathematics, statistics and actuary","Auxiliares y técnicos en física, matemáticas, estadística y actuaría","Assistants in physics, mathematics, statistics and actuary","2611","4digit",261.0,"Assistants and technicians in physics, mathematics, statistics and actuary"
215,"Auxiliares y técnicos en ciencias biológicas, químicas y del medio ambiente","Assistants and technicians in biological, chemical and environmental sciences","Auxiliares y técnicos en ciencias biológicas, químicas y del medio ambiente","Assistants in biological, chemical and environmental sciences","2612","4digit",261.0,"Assistants and technicians in biological, chemical and environmental sciences"
216,"Auxiliares y técnicos en agronomía","Agronomy assistants and technicians","Auxiliares y técnicos en agronomía","Agronomy assistants and technicians","2613","4digit",261.0,"Agronomy assistants and technicians"
217,"Auxiliares y técnicos en veterinaria, pesca y forestación","Veterinary, fishing and forestry assistants and technicians","Auxiliares y técnicos en veterinaria, pesca y forestación","Veterinary, fishing and forestry assistants and technicians","2614","4digit",261.0,"Veterinary, fishing and forestry assistants and technicians"
218,"Auxiliares y técnicos industriales, topógrafos, mineros y dibujantes técnicos","Industrial assistants and technicians, surveyors, miners and technical illustrators","Auxiliares y técnicos industriales, topógrafos, mineros y dibujantes técnicos","Industrial assistants, surveyors and technical illustrators","262","3digit",259.0,"Industrial assistants and technicians, surveyors, miners and technical illustrators"
219,"Auxiliares y técnicos industriales y químicos","Industrial and chemical assistants and technicians","Auxiliares y técnicos industriales y químicos","Industrial and chemical assistants and technicians","2621","4digit",267.0,"Industrial and chemical assistants and technicians"
220,"Auxiliares y técnicos topógrafos, en hidrología y geología","Assistants, technicians and surveyors in hydrology and geology","Auxiliares y técnicos topógrafos, en hidrología y geología","Assistants and surveyors in hydrology and geology","2622","4digit",267.0,"Assistants, technicians and surveyors in hydrology and geology"
221,"Auxiliares y técnicos mineros, metalúrgicos y petroleros","Mining, metallurgy and oil assistants and technicians","Auxiliares y técnicos mineros, metalúrgicos y petroleros","Mining, metallurgy and oil assistants and technicians","2623","4digit",267.0,"Mining, metallurgy and oil assistants and technicians"
222,"Auxiliares y técnicos en construcción y arquitectura","Construction and architecture assistants and technicians","Auxiliares y técnicos en construcción y arquitectura","Construction and architecture assistants and technicians","2624","4digit",267.0,"Construction and architecture assistants and technicians"
223,"Dibujantes técnicos","Technical draftsman","Dibujantes técnicos","Technical draftsman","2625","4digit",267.0,"Technical draftsman"
224,"Mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración","Mechanics and technicians in maintenance and repair of mechanical equipment, motor vehicles, industrial instruments and refrigeration equipment","Mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración","Mechanics and technicians in maintenance and repair","263","3digit",259.0,"Mechanics and technicians in maintenance and repair of mechanical equipment, motor vehicles, industrial instruments and refrigeration equipment"
225,"Supervisores de mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración","Supervisors of mechanics and technicians in maintenance and repair of mechanical equipment, motor vehicles, industrial instruments and refrigeration equipment","Supervisores de mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración","Supervisors of mechanics & technicians in maintenance/repair","2630","4digit",273.0,"Supervisors of mechanics and technicians in maintenance and repair of mechanical equipment, motor vehicles, industrial instruments and refrigeration equipment"
226,"Técnicos en mantenimiento y reparación de vehículos de motor","Technicians in maintenance and repair of motor vehicles","Técnicos en mantenimiento y reparación de vehículos de motor","Technicians in maintenance and repair of motor vehicles","2631","4digit",273.0,"Technicians in maintenance and repair of motor vehicles"
227,"Mecánicos en mantenimiento y reparación de vehículos de motor","Mechanics in maintenance and repair of motor vehicles","Mecánicos en mantenimiento y reparación de vehículos de motor","Mechanics in maintenance and repair of motor vehicles","2632","4digit",273.0,"Mechanics in maintenance and repair of motor vehicles"
228,"Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales","Technicians in maintenance and repair of industrial machinery and equipment","Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales","Technicians in maintenance/repair of industrial equipment","2633","4digit",273.0,"Technicians in maintenance and repair of industrial machinery and equipment"
229,"Mecánicos en mantenimiento y reparación de maquinaria e instrumentos industriales","Mechanics in maintenance and repair of industrial machinery and equipment","Mecánicos en mantenimiento y reparación de maquinaria e instrumentos industriales","Mechanics in maintenance/repair of industrial equipment","2634","4digit",273.0,"Mechanics in maintenance and repair of industrial machinery and equipment"
230,"Técnicos en mantenimiento y reparación de instrumentos de precisión y musicales","Technicians in maintenance and repair of precision and musical instruments","Técnicos en mantenimiento y reparación de instrumentos de precisión y musicales","Technicians in repair of precision and musical instrs.","2635","4digit",273.0,"Technicians in maintenance and repair of precision and musical instruments"
231,"Mecánicos en mantenimiento y reparación de instrumentos de precisión y musicales","Mechanics in maintenance and repair of precision and musical instruments","Mecánicos en mantenimiento y reparación de instrumentos de precisión y musicales","Mechanics in repair of precision and musical instrs.","2636","4digit",273.0,"Mechanics in maintenance and repair of precision and musical instruments"
232,"Técnicos en la instalación, reparación y mantenimiento de equipos de refrigeración, climas y aire acondicionado","Technicians for the installation, repair and maintenance of refrigeration and air conditioning equipment.","Técnicos en la instalación, reparación y mantenimiento de equipos de refrigeración, climas y aire acondicionado","Technicians for refrigerators & AC","2637","4digit",273.0,"Technicians for the installation, repair and maintenance of refrigeration and air conditioning equipment."
233,"Mecánicos en instalación, mantenimiento y reparación de equipos de refrigeración, climas y aire acondicionado.","Mechanics for the installation, repair and maintenance of refrigeration and air conditioning equipment.","Mecánicos en instalación, mantenimiento y reparación de equipos de refrigeración, climas y aire acondicionado.","Mechanics for refrigerators & AC","2638","4digit",273.0,"Mechanics for the installation, repair and maintenance of refrigeration and air conditioning equipment."
234,"Otras ocupaciones de mecánicos y técnicos en el mantenimiento y reparación de equipos mecánicos, vehículos de motor e instrumentos industriales, no clasificados anteriormente","Other types of mechanics and technicians in maintenance and repair of mechanical equipment, motor vehicles, industrial and refrigeration equipment, not included above","Otras ocupaciones de mecánicos y técnicos en el mantenimiento y reparación de equipos mecánicos, vehículos de motor e instrumentos industriales, no clasificados anteriormente","Other types of mechanics & technicians in maintenance","2639","4digit",273.0,"Other types of mechanics and technicians in maintenance and repair of mechanical equipment, motor vehicles, industrial and refrigeration equipment, not included above"
235,"Técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos","Electrical, electronics, telecommunications equipment and electromechanical technicians","Técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos","Technicias in electronics and ICT","264","3digit",259.0,"Electrical, electronics, telecommunications equipment and electromechanical technicians"
236,"Supervisores de técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos","Supervisors of electrical, electronics, telecommunications equipment and electromechanical technicians","Supervisores de técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos","Supervisors in electronics and ICT","2640","4digit",297.0,"Supervisors of electrical, electronics, telecommunications equipment and electromechanical technicians"
237,"Técnicos eléctricos","Electrical technicians","Técnicos eléctricos","Electrical technicians","2641","4digit",297.0,"Electrical technicians"
238,"Electricistas y linieros","Electricians and linemen","Electricistas y linieros","Electricians and linemen","2642","4digit",297.0,"Electricians and linemen"
239,"Técnicos en instalación y reparación de equipos electrónicos, telecomunicaciones y electrodoméstico (excepto equipos informáticos)","Technicians for the installation and repair of electronic, telecommunications equipment and home appliances (except for computers)","Técnicos en instalación y reparación de equipos electrónicos, telecomunicaciones y electrodoméstico (excepto equipos informáticos)","Technicians for electronics and home appliances","2643","4digit",297.0,"Technicians for the installation and repair of electronic, telecommunications equipment and home appliances (except for computers)"
240,"Trabajadores en instalación y reparación de equipos electrónicos, telecomunicaciones y electrodoméstico (excepto equipos informáticos)","Workers in the installation and repair of electronic, telecommunications equipment and home appliances (except for computers)","Trabajadores en instalación y reparación de equipos electrónicos, telecomunicaciones y electrodoméstico (excepto equipos informáticos)","Workers in the installation/repair of electronics and home appliances","2644","4digit",297.0,"Workers in the installation and repair of electronic, telecommunications equipment and home appliances (except for computers)"
241,"Técnicos en reparación de equipos electromecánicos","Technicians for the repair of electromechanical equipment","Técnicos en reparación de equipos electromecánicos","Technicians for the repair of electromechanical equipment","2645","4digit",297.0,"Technicians for the repair of electromechanical equipment"
242,"Trabajadores en reparación de equipos electromecánicos","Workers for the repair of electromechanical equipment","Trabajadores en reparación de equipos electromecánicos","Workers for the repair of electromechanical equipment","2646","4digit",297.0,"Workers for the repair of electromechanical equipment"
243,"Otros técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos, no clasificados anteriormente","Other electrical, electronics, telecommunications equipment and electromechanical technicians, not included above","Otros técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos, no clasificados anteriormente","Other electricians and ICT technicians","2649","4digit",297.0,"Other electrical, electronics, telecommunications equipment and electromechanical technicians, not included above"
244,"Auxiliares y técnicos en informática y en equipos de comunicaciones y grabación","Assistants and technicians in computing, communications and recording equipment","Auxiliares y técnicos en informática y en equipos de comunicaciones y grabación","Assistants in computing, communications and recording","265","3digit",259.0,"Assistants and technicians in computing, communications and recording equipment"
245,"Técnicos en la instalación y reparación de redes, equipos y en sistemas computacionales","Technicians for the installation and repair of networks, equipment and computer systems","Técnicos en la instalación y reparación de redes, equipos y en sistemas computacionales","Technicians for the installation and repair of computer networks","2651","4digit",311.0,"Technicians for the installation and repair of networks, equipment and computer systems"
246,"Técnicos en operaciones de equipos de radio","Radio equipment operators","Técnicos en operaciones de equipos de radio","Radio equipment operators","2652","4digit",311.0,"Radio equipment operators"
247,"Auxiliares y técnicos de equipos de grabación y reproducción de video","Assistants and technicians for recording and playback equipment repairing","Auxiliares y técnicos de equipos de grabación y reproducción de video","Assistants for recording equipment repair","2653","4digit",311.0,"Assistants and technicians for recording and playback equipment repairing"
248,"Auxiliares y técnicos de ingeniería de audio, sonido e iluminación","Assistants and technicians for audio, sound and lighting engineering","Auxiliares y técnicos de ingeniería de audio, sonido e iluminación","Assistants and technicians for audio, sound and lighting","2654","4digit",311.0,"Assistants and technicians for audio, sound and lighting engineering"
249,"Fotógrafos","Photographers","Fotógrafos","Photographers","2655","4digit",311.0,"Photographers"
250,"Controladores de tráfico aéreo y de otros transportes","Air traffic and other transport controllers","Controladores de tráfico aéreo y de otros transportes","Air traffic and other transport controllers","266","3digit",259.0,"Air traffic and other transport controllers"
251,"Controladores de tráfico aéreo","Air traffic controllers","Controladores de tráfico aéreo","Air traffic controllers","2661","4digit",318.0,"Air traffic controllers"
252,"Controladores de tráfico de otros transportes (terrestre, ferroviario y marítimo)","Other transport traffic controllers (road, rail and sea)","Controladores de tráfico de otros transportes (terrestre, ferroviario y marítimo)","Other transport traffic controllers (road, rail and sea)","2662","4digit",318.0,"Other transport traffic controllers (road, rail and sea)"
253,"Auxiliares y técnicos en educación, instructores y capacitadores","Education, training and coaching assistants and technicians","Auxiliares y técnicos en educación, instructores y capacitadores","Education, training and coaching assistants and technicians","27","2digit",114.0,"Education, training and coaching assistants and technicians"
254,"Auxiliares y técnicos en educación, instructores y capacitadores","Education, training and coaching assistants and technicians","Auxiliares y técnicos en educación, instructores y capacitadores","Education, training and coaching assistants and technicians","271","3digit",322.0,"Education, training and coaching assistants and technicians"
255,"Auxiliares y técnicos en pedagogía y en educación","Pedagogy and education assistants and technicians","Auxiliares y técnicos en pedagogía y en educación","Pedagogy and education assistants and technicians","2711","4digit",323.0,"Pedagogy and education assistants and technicians"
256,"Instructores en estudios y capacitación artística","Art studies and training instructors","Instructores en estudios y capacitación artística","Art studies and training instructors","2712","4digit",323.0,"Art studies and training instructors"
257,"Instructores en estudios y capacitación comercial y administrativa","Business and administrative studies and training instructors","Instructores en estudios y capacitación comercial y administrativa","Business and administrative studies and training instructors","2713","4digit",323.0,"Business and administrative studies and training instructors"
258,"Instructores en idiomas extranjeros","Foreign language teachers","Instructores en idiomas extranjeros","Foreign language teachers","2714","4digit",323.0,"Foreign language teachers"
259,"Instructores y capacitadores en oficios y para el trabajo","Trades and work trainers and instructors","Instructores y capacitadores en oficios y para el trabajo","Trades and work trainers and instructors","2715","4digit",323.0,"Trades and work trainers and instructors"
260,"Profesores en educación física y deporte","Physical education and sport teachers","Profesores en educación física y deporte","Physical education and sport teachers","2716","4digit",323.0,"Physical education and sport teachers"
261,"Enfermeras, técnicos en medicina y trabajadores de apoyo en salud","Nurses, medical technicians and health care support workers","Enfermeras, técnicos en medicina y trabajadores de apoyo en salud","Nurses, medical technicians and health care support workers","28","2digit",114.0,"Nurses, medical technicians and health care support workers"
262,"Enfermeras y técnicos en medicina","Nurses and medical technicians","Enfermeras y técnicos en medicina","Nurses and medical technicians","281","3digit",332.0,"Nurses and medical technicians"
263,"Enfermeras (técnicas)","Nurses (technical)","Enfermeras (técnicas)","Nurses (technical)","2811","4digit",333.0,"Nurses (technical)"
264,"Técnicos en aparatos de diagnóstico, tratamiento médico, podólogos y fisioterapeutas","Technicians for diagnostic and medical treatment devices, podiatrists and physiotherapists","Técnicos en aparatos de diagnóstico, tratamiento médico, podólogos y fisioterapeutas","Technicians for diagnostic and medical treatment devices","2812","4digit",333.0,"Technicians for diagnostic and medical treatment devices, podiatrists and physiotherapists"
265,"Técnicos de laboratorios médicos","Medical laboratory technicians","Técnicos de laboratorios médicos","Medical laboratory technicians","2813","4digit",333.0,"Medical laboratory technicians"
266,"Técnicos y asistentes farmacéuticos","Pharmaceutical technicians and assistants","Técnicos y asistentes farmacéuticos","Pharmaceutical technicians and assistants","2814","4digit",333.0,"Pharmaceutical technicians and assistants"
267,"Técnicos de prótesis médicas y dentales","Medical and dental prostheses technicians","Técnicos de prótesis médicas y dentales","Medical and dental prostheses technicians","2815","4digit",333.0,"Medical and dental prostheses technicians"
268,"Técnicos dietistas y nutriólogos","Dietitians and nutritionists technicians","Técnicos dietistas y nutriólogos","Dietitians and nutritionists technicians","2816","4digit",333.0,"Dietitians and nutritionists technicians"
269,"Técnicos en medicina alternativa","Alternative medicine technicians","Técnicos en medicina alternativa","Alternative medicine technicians","2817","4digit",333.0,"Alternative medicine technicians"
270,"Trabajadores de apoyo en salud","Health care support workers","Trabajadores de apoyo en salud","Health care support workers","282","3digit",332.0,"Health care support workers"
271,"Auxiliares en enfermería y paramédicos","Nursing and paramedic assistants","Auxiliares en enfermería y paramédicos","Nursing and paramedic assistants","2821","4digit",342.0,"Nursing and paramedic assistants"
272,"Auxiliares y asistentes dentales","Dental assistants","Auxiliares y asistentes dentales","Dental assistants","2822","4digit",342.0,"Dental assistants"
273,"Auxiliares hospitalarios y de medicina","Hospital and medical assistants","Auxiliares hospitalarios y de medicina","Hospital and medical assistants","2823","4digit",342.0,"Hospital and medical assistants"
274,"Parteras","Midwives","Parteras","Midwives","2824","4digit",342.0,"Midwives"
275,"Técnicos en seguridad en el trabajo e higiene","Work health and safety technicians","Técnicos en seguridad en el trabajo e higiene","Work health and safety technicians","2825","4digit",342.0,"Work health and safety technicians"
276,"Curanderos, hierberos y hueseros","Healers, herbalists and bonesetters","Curanderos, hierberos y hueseros","Healers, herbalists and bonesetters","2826","4digit",342.0,"Healers, herbalists and bonesetters"
277,"Fumigadores y controladores de plagas","Pest controllers and fumigators","Fumigadores y controladores de plagas","Pest controllers and fumigators","2827","4digit",342.0,"Pest controllers and fumigators"
278,"Otros especialistas y técnicos, no clasificados anteriormente","Other specialists and technicians, not included above","Otros especialistas y técnicos, no clasificados anteriormente","Other specialists and technicians, not included above","29","2digit",114.0,"Other specialists and technicians, not included above"
279,"Otros especialistas y técnicos, no clasificados anteriormente","Other specialists and technicians, not included above","Otros especialistas y técnicos, no clasificados anteriormente","Other specialists and technicians, not included above","299","3digit",350.0,"Other specialists and technicians, not included above"
280,"Otros especialistas no clasificados anteriormente","Other specialists not included above","Otros especialistas no clasificados anteriormente","Other specialists not included above","2991","4digit",351.0,"Other specialists not included above"
281,"Otros técnicos no clasificados anteriormente","Other technicians not included above","Otros técnicos no clasificados anteriormente","Other technicians not included above","2992","4digit",351.0,"Other technicians not included above"
282,"Trabajadores auxiliares en actividades administrativas","Clerks in administrative activities","Trabajadores auxiliares en actividades administrativas","Clerks in administrative activities","3","1digit","","Clerks in administrative activities"
283,"Secretarias, capturistas, cajeros y trabajadores de control de archivo y transporte","Secretaries, typists, cashiers and filing and transportation control workers","Secretarias, capturistas, cajeros y trabajadores de control de archivo y transporte","Secretaries, cashiers, filers and transportation controlers","31","2digit",354.0,"Secretaries, typists, cashiers and filing and transportation control workers"
284,"Supervisores de secretarias, capturistas, cajeros y trabajadores de control de archivo y transporte","Supervisors of secretaries, typists, cashiers and filing and transportation control workers","Supervisores de secretarias, capturistas, cajeros y trabajadores de control de archivo y transporte","Supervisors of secretaries, cashiers, filers and transportation controlers","310","3digit",355.0,"Supervisors of secretaries, typists, cashiers and filing and transportation control workers"
